name;uniprot
YBL072C;P0CX39
YBL087C;P0CX41
YBL092W;P38061
YBR189W;P05755
YBR191W;Q02753
YDL061C;P41058
YDL075W;P0C2H8
YDL082W;Q12690
YDL191W;P0CX84
YDR012W;P49626
YDR025W;P0CX47
YPL249C-A;O14455
YDR064W;P05756
YDR450W;P0CX55
YDR500C;P51402
YEL054C;P0CX53
YER074W;P0CX31
YER131W;P39939
YGL030W;P14120
YGL031C;P04449
YGL076C;P05737
YGL103W;P02406
YGL123W;P25443
YGL147C;P05738
YGR027C;Q3E792
YGR085C;Q3E757
YGR118W;P0CX29
YGR148C;P24000
YHL015W;P38701
YHL033C;P17076
YHR010W;P0C2H6
YIL052C;P40525
YIL133C;P26784
YIL148W;P0CH08
YJL136C;Q3E754
YJL177W;P46990
YJL189W;P04650
YJL190C;P0C0W1
YJR123W;P26783
YJR145C;P0CX35
YKL006W;P36105
YKL156W;P35997
YLL045C;P29453
YLR029C;P05748
YLR048W;P46654
YLR061W;P05749
YLR075W;P41805
YLR167W;P05759
YLR185W;P49166
YLR221C;Q05942
YLR264W;P0C0X0
YLR325C;P49167
YLR344W;P05743
YLR388W;P41057
YLR441C;P33442
YLR448W;P05739
YML063W;P23248
YML073C;Q02326
YMR116C;P38011
YMR121C;P54780
YMR143W;P0CX51
YMR194W;P05745
YMR242C;P0CX23
YNL067W;P51401
YNL069C;P26785
YNL096C;P48164
YNL162W;P0CX27
YNL178W;P05750
YOL040C;Q01855
YOL120C;P0CX49
YOL121C;P07280
YOL127W;P04456
YOR063W;P14126
YOR096W;P26786
YOR234C;P41056
YOR293W;Q08745
YOR369C;P48589
YPL090C;P0CX37
YPL131W;P26321
YPL220W;P0CX43
YPR043W;P0CX25
YBR084C-A;P0CX82
YFR031C-A;P0CX45
YLR287C-A;P0CX33
YDR060W;Q12176
YBL027W;P0CX83
YBR031W;P10664
YBR048W;P0CX48
YBR181C;P0CX38
YDL083C;P0CX52
YDL136W;P0CX85
YDL184C;P0CX86
YDR418W;P0CX54
YDR471W;P0C2H7
YER102W;P0CX40
YER117W;P0CX42
YGL135W;P0CX44
YGL189C;P39938
YGR034W;P53221
YGR214W;P32905
YHL001W;P38754
YHR021C;P38711
YHR141C;P0CX28
YHR203C;P0CX36
YIL018W;P0CX46
YIL069C;P0CX32
YKL180W;P05740
YKR057W;P0C0V8
YKR094C;P0CH09
YLR333C;P0C0T4
YLR367W;Q3E7Y3
YLR406C;P0C2H9
YML026C;P0CX56
YMR142C;P40212
YMR230W;P46784
YNL301C;P0CX50
YNL302C;P07281
YOR167C;Q3E7X9
YOR182C;P0CX34
YOR312C;P0CX24
YPL079W;Q12672
YPL081W;O13516
YPL142C;Q08916
YPL143W;P05744
YPL198W;Q12213
YPR102C;P0C0W9
YPR132W;P0CX30
YJR094W-A;P0CX26
YER056C-A;P87262
YDL133C-A;P0CX87
YFR032C-A;P05747
YFL034C-A;P56628