ORF;uniprot
YAL003W;P32471
YAL035W;P39730
YBL072C;P0CX39
YBL087C;P0CX41
YBL092W;P38061
YBR079C;P38249
YBR101C;P38260
YBR121C;P38088
YBR189W;P05755
YBR191W;Q02753
YDL061C;P41058
YDL075W;P0C2H8
YDL081C;P05318
YDL082W;Q12690
YDL130W;P10622
YDL191W;P0CX84
YDR012W;P49626
YDR023W;P07284
YDR025W;P0CX47
YDR064W;P05756
YDR211W;P32501
YDR283C;P15442
YDR382W;P02400
YDR450W;P0CX55
YDR500C;P51402
YEL026W;P39990
YEL034W;P23301
YEL054C;P0CX53
YER025W;P32481
YER074W;P0CX31
YER131W;P39939
YFR009W;P43535
YGL030W;P14120
YGL031C;P04449
YGL049C;P39936
YGL076C;P05737
YGL103W;P02406
YGL123W;P25443
YGL147C;P05738
YGL195W;P33892
YGR027C;Q3E792
YGR054W;P53235
YGR083C;P12754
YGR085C;Q3E757
YGR118W;P0CX29
YGR148C;P24000
YGR162W;P39935
YGR285C;P32527
YHL015W;P38701
YHL033C;P17076
YHR010W;P0C2H6
YHR064C;P38788
YHR089C;P28007
YHR170W;P38861
YHR193C;P38879
YIL052C;P40525
YIL133C;P26784
YIL148W;P0CH08
YIR012W;P35184
YJL136C;Q3E754
YJL177W;P46990
YJL189W;P04650
YJL190C;P0C0W1
YJL191W;P39516
YJR007W;P20459
YJR123W;P26783
YJR145C;P0CX35
YKL006W;P36105
YKL009W;P33201
YKL056C;P35691
YKL081W;P36008
YKL156W;P35997
YKR059W;P10081
YLL045C;P29453
YLR029C;P05748
YLR048W;P46654
YLR061W;P05749
YLR075W;P41805
YLR150W;P39015
YLR167W;P05759
YLR175W;P33322
YLR185W;P49166
YLR197W;Q12460
YLR244C;Q01662
YLR249W;P16521
YLR264W;P0C0X0
YLR291C;P32502
YLR325C;P49167
YLR340W;P05317
YLR344W;P05743
YLR372W;P40319
YLR388W;P41057
YLR441C;P33442
YLR448W;P05739
YML024W;P02407
YML063W;P23248
YML073C;Q02326
YMR116C;P38011
YMR194W;P05745
YMR242C;P0CX23
YMR260C;P38912
YNL067W;P51401
YNL069C;P26785
YNL096C;P48164
YNL162W;P0CX27
YNL178W;P05750
YNL244C;P32911
YNL248C;Q01080
YOL039W;P05319
YOL040C;Q01855
YOL097C;Q12109
YOL120C;P0CX49
YOL121C;P07280
YOL127W;P04456
YOL139C;P07260
YOR063W;P14126
YOR096W;P26786
YOR133W;P32324
YOR224C;P20436
YOR234C;P41056
YOR260W;P09032
YOR276W;P12962
YOR293W;Q08745
YOR310C;Q12499
YOR369C;P48589
YPL012W;Q12754
YPL037C;Q02642
YPL048W;P29547
YPL090C;P0CX37
YPL131W;P26321
YPL211W;Q08962
YPL220W;P0CX43
YPL237W;P09064
YPR041W;P38431
YPR080W;P02994
YPR110C;P07703
YPR163C;P34167
YBR084C-A;P0CX82
YFR031C-A;P0CX45
YBL027W;P0CX83
YBR031W;P10664
YBR048W;P0CX48
YBR181C;P0CX38
YCR031C;P06367
YDL083C;P0CX52
YDL136W;P0CX85
YDR252W;P40314
YDR417C;P87267
YDR418W;P0CX54
YDR447C;P14127
YDR471W;P0C2H7
YER102W;P0CX40
YER117W;P0CX42
YGL135W;P0CX44
YGL189C;P39938
YGR034W;P53221
YGR214W;P32905
YHL001W;P38754
YHR021C;P38711
YHR141C;P0CX28
YHR203C;P0CX36
YIL018W;P0CX46
YJR047C;P19211
YKL180W;P05740
YKR057W;P0C0V8
YKR094C;P0CH09
YLR333C;P0C0T4
YLR367W;Q3E7Y3
YLR406C;P0C2H9
YML026C;P0CX56
YMR142C;P40212
YMR230W;P46784
YNL014W;P53978
YNL301C;P0CX50
YNL302C;P07281
YOR167C;Q3E7X9
YOR182C;P0CX34
YOR309C;Q12444
YOR312C;P0CX24
YPL079W;Q12672
YPL081W;O13516
YPL143W;P05744
YPL198W;Q12213
YPR102C;P0C0W9
YPR132W;P0CX30
YER056C-A;P87262